WordContent,sentences,index
प्रतिक्रिया,"प्रतिरक्षा प्रतिक्रिया को , एक संक्रामक एजेंट के माध्यम से , उत्तेजित करने की प्रक्रिया को प्रतिरक्षण ( immunization ) के रूप में जाना जाता है ।",60
प्रतिक्रिया,थेलिडोमाइड टीबी मैनिंजाइटिस में लाभकारी हो सकता है और इसका उपयोग उन मामलों में किया गया है जिनमें रोगी स्टेरॉयड उपचार के लिए प्रतिक्रिया नहीं देता ।,108
प्रतिक्रिया,"टीबी का यह उपभेद पहली और दूसरी पंक्ति के लिए , दक्षिण अफ्रीका में वर्तमान में उपलब्ध किसी भी दवा के लिए प्रतिक्रिया नहीं देता ।",127
प्रतिक्रिया,"स्पष्ट जोखिम के अलावा ( अर्थात MDR - टीबी के रोगी में ज्ञात जोखिम ) अन्य जोखिम भी देखे जाते हैं जैसे पुरुष लिंग , एचआईवी संक्रमण , पहले भी टीबी का हो चुका होना , टीबी का उपचार असफल होना , मानक टीबी के उपचार के लिए प्रतिक्रिया न होना और टीबी के मानक उपचार के बाद रोग का फिर से हो जाना ।",138
प्रतिक्रिया,"उपचार के लिए क्या प्रतिक्रिया हो रही है , इसका पता लगाने के लिए बार बार थूक का कल्चर किया जा सकता है ( अगर संभव हो तो हर माह इसे करना चाहिए ) ।",159
प्रतिक्रिया,"हालांकि टीबी मैनिंजाइटिस और टीबी सेरेब्रिटिस को एक साथ वर्गीकृत किया जाता है , कई चिकित्सकों का अनुभव यह है कि उपचार के लिए प्रतिक्रिया समान नहीं होती ।",213
पैदा,लेकिन इससे ऐसा नहीं कहा जा सकता कि उपचार विफल हो रहा है और यह आमतौर पर रोगियों में ( और उनके चिकित्सकों में ) अनावश्यक दहशत भी पैदा करता है ।,192
पैदा,ऐसा तब हो सकता है जब डेंगू वायरस मस्तिष्क में संक्रमण पैदा करता है ।,481
पैदा,"उदाहरण के लिये , डेंगू ट्रांसवर्स माइलिटिस ( अनुप्रस्थ मेरुदंड की सूजन ) तथा गुइलियन - वाले सिन्ड्रोम पैदा कर सकता है ।",484
पैदा,"हालांकि ऐसा लगभग नहीं होता है , लेकिन डेंगू दिल का संक्रमण तथा गंभीर जिगर की विफलता पैदा कर सकता है ।",485
पैदा,अन्य वायरस भी इस परिवार से संबंधित हैं तथा मानवों में बीमारियां पैदा कर सकते हैं ।,488
पैदा,"वायरस उन संक्रमित मच्छरों के लिये कोई समस्या पैदा नहीं करते दिखते हैं , जो अपने पूरे जीवन भर संक्रमित रहेंगे ।",501
उस,ब्रोदिए ने सबसे पहले उस टीके का परीक्षण अपने आप पर और अपने कई सहायकों पर किया ।,64
उस,"धैर्य बंधाने के लिए सॉल्क ने 26 मार्च 1953 को रेडियो सीबीएस पर वयस्कों और बच्चों के एक छोटे से समूह पर सफल परीक्षण किये जाने की घोषणा की , दो दिन बाद उस परीक्षण के नतीजे JAMA में प्रकाशित किये गए ।",84
उस,"४ से ६ साल की उम्र के बीच एक बूस्टर टीका दिया जाता है , जो कि स्कूल जाने तक या उस से पहले दिए जाने वाले कुल ४ टीकों में होता है ।",103
उस,"उस ने कहा , अच्छे परिणाम अभी भी संभव हैं ।",134
उस,"एक वर्ग के भीतर एक दवा के लिए प्रतिरोध का अर्थ है कि आमतौर पर उस वर्ग में सभी दवाओं के लिए प्रतिरोध होता है , परन्तु रिफाम्पिसिन एक उल्लेखनीय अपवाद है ।",148
उस,"परिपक्व होने पर ये फूटते हैं और इसमें से निकलने वाले बीजाणु ( अंग्रेजी : "" sporozoites "" , "" स्पोरोज़ॉट्स "" ) उस मच्छर की लार -JOIN ग्रंथियों में पहुँच जाते हैं ।",536
लक्षणों,"मलेरिया के लक्षणों में शामिल हैं - ज्वर , कंपकंपी , जोड़ों में दर्द , उल्टी , रक्ताल्पता ( रक्त विनाश से ) , मूत्र में हीमोग्लोबिन और दौरे ।",248
लक्षणों,"बच्चों में निमोनिया को चिह्नों व लक्षणों के आधार पर गैर - गंभीर , गंभीर या बेहद गंभीर के रूप में अतिरिक्त रूप से वर्गीकृत किया जा सकता है ।",359
लक्षणों,"कई सारे रोग निमोनिया के समान चिह्नों और लक्षणों वाले हो सकते हैं , जैसे कि : गंभीर प्रतिरोधी फेफड़ा रोग ( सीओपीडी ) , अस्थमा , फुफ्फुसीय एडेमा , ब्रांकिएकटैसिस , फेफड़े का कैंसर और फुफ्फुसीय एम्बोली ।",360
लक्षणों,डेंगू बुख़ार के कुछ लक्षणों में बुखार ; सिरदर्द ; त्वचा पर चेचक जैसे लाल चकत्ते तथा मांसपेशियों और जोड़ों में दर्द शामिल हैं ।,578
लक्षणों,"लक्षणों के आधार पर , भिन्न लोगों के लिये भिन्न उपचार हैं ।",681
लक्षणों,"उपरोक्त वर्णित अनेक लक्षणों में से कुछ , प्रायः वृद्धावस्था में बिना पार्किन्‍सोनिज्‍म के भी देखे जा सकते हैं ।",821
मात्रा,"वास्तव में , "" नशेड़ी व्यवहार दर्शाने वाली जनसंख्या "" के ग्राफ की प्रतिशतता 100 % तक पहुँचने से पहले , "" निकोटिन की मात्रा "" के ग्राफ के बराबर है जिससे पता चलता है कि एक अनुपात में सभी लोग कभी भी निकोटिन पर निर्भर नहीं होते ।",5
मात्रा,सूखे क्षेत्रों में इसके प्रसार का वर्षा की मात्रा से गहरा संबंध है ।,233
मात्रा,"संपूर्ण विघटन के लिये आमतौर पर मौखिक एंटीबायोटिक्स , आराम और सरल एन्लजेसिक्स और तरल की अधिक मात्रा ।",384
मात्रा,"फिर भी , यह ज़रूरी है कि हर रोज़ कैल्शियम , मैग्नीशियम और चिकित्सीय मात्रा में विटामिन डी लेना चाहिए , लेकिन स्ट्रॉन्शियम लेते समय में नहीं ।",610
