WordContent,sentences
మంచి,ఇంకో కారణం ఆడవాళ్లు ఉండే చోట్లు ఆరోగ్యానికి మంచివి కావు ణూLL .
మంచి,"మునగ , కరివేపాకు , సీతాఫలం , జామ అందరూ పెంచగలవి , వీటిని వేసే మంచి జాతి మొక్కలు ఎంచుకోవాలి"
మంచి,ఆకు కూరలు రోజూ తినగలిగినా మంచిదే ణూLL .
మంచి,కంటి జబ్బులకు బొప్పాయి పండు మంచి మందు ణూLL .
మంచి,పైగా బిడ్డకు ఎంతో మంచిది ణూLL .
మంచి,మునగాకు కూర కళ్లకు ఎంతో మంచిది ణూLL .
ఆడవాళ్లు,మరి ఆడవాళ్లు ఎందుకు మాటిమాటికీ రోగాల పాలవుతున్నారు ?
ఆడవాళ్లు,ఆడవాళ్లు ఎందుకు ఎక్కువగా చనిపోతున్నారు ?
ఆడవాళ్లు,ఇంకో కారణం ఆడవాళ్లు ఉండే చోట్లు ఆరోగ్యానికి మంచివి కావు ణూLL .
ఆడవాళ్లు,ఆడవాళ్లు కడుపుతో ఉన్నప్పుడు . కనేటప్పుడూ వైద్యం అవసరమే ణూLL .
ఆడవాళ్లు,అసలు విషయం ఏమంటే మొదటి ఆడవాళ్లు ఆరోగ్యంగా పెరగాలి ణూLL .
ఆడవాళ్లు,అందుకే ఆడవాళ్లు చదువుకోవాలి .
అయినా,అయినా లంకెబిందెలు కనపడలేదు .
అయినా,అయినా లంకెబిందెల జాడలేదు .
అయినా,అయినా బావిలో బిందెలు కనపడలేదు .
అయినా,అయినా సోములు వినలేదు .
అయినా,అయినా ఏ నాడు ఏడవలేదు .
అయినా,అయినా ఎవరూ దవాఖానా పేరు ఎత్తరు .
మంచిది,పైగా బిడ్డకు ఎంతో మంచిది ణూLL .
మంచిది,మునగాకు కూర కళ్లకు ఎంతో మంచిది ణూLL .
మంచిది,వీటిలో బెంగుళూరు రకం చాలా మంచిది ణూLL .
మంచిది,పూతకు వచ్చినప్పుడు యూరియా వాడడం మంచిది ణూLL .
మంచిది,కొబ్బరిలో సంకరజాతివి నాటుకొంటే మంచిది ణూLL .
మంచిది,ఇంటిది నవ్వుతూ తిరుగుతుంటే నీకే మంచిది ణూLL .
మనం,రోజూ ఈ వార్తలు మనం వింటూనే .
మనం,ఈ కొత్త ప్రపంచంలోకి మనం అడుగు పెడతాం ?
మనం,మనం వాడిన నీళ్లు చెట్టుకు పారేటట్టు చేసుకుంటే .
మనం,మనం వాడుకునే నీళ్లు చెట్టుకు అందేటట్టు చేసుకుంటే .
మనం,మనం వాడిన నీళ్లు ఈ గుంటలో పడేటట్టు చేయాలి .
మనం,మనం పేదోళ్లం ణూLL .
అందుకే,అందుకే ఆడవాళ్లు చదువుకోవాలి .
అందుకే,అందుకే వాళ్లకు రక్తపోటు వస్తుంది .
అందుకే,అందుకే శారద గాలికి తిరుగుతున్నది .
అందుకే,అందుకే దగ్గరగా ఉంచాలి .
అందుకే,అందుకే అడగలేదు .
అందుకే,అందుకే గోపాలం మేం సొంత ఊరు వదలం అన్నాడు .
దీని,ఎంత బాధైనా దీని ఎలా బయట పెట్టుకొనేది సరిగా విషయం తెలియకపోవడం .
దీని,దీనికి తోడు అలాంటప్పుడు తగిన వైద్య సాయమూ లేకుంటే ఆమె ఏమీ అవుతుంది ?
దీని,దీనికి పెద్ద చోటు అవసరం లేదు .
దీని,ముదిరినా తగ్గని రుచి దీనిది ణూLL .
దీని,దీని అరలీటరు పాలు దిగుబడి పెరుగుతుంది .
దీని,దీని పాల దిగుబడి పెరుగుతుంది .
నాకు,నాకు కలలో ఒక దేవత కనిపించింది .
నాకు,ఒకరోజు సోములుకు రత్తాలు దవాఖానాకు వచ్చింది .
నాకు,ఇకనైనా కళ్లు తెరచి దవాఖానాకు పదండి .
నాకు,ఆ ముసలమ్మను చూడగానే నాకు అనుమానం కలిగింది .
నాకు,నాకు ఏమీ అర్ధం కాలేదు .
నాకు,నాకు ఆమె కాశ్మీరు స్త్రీ అని అర్ధమైంది .
అవసరం,అవసరం లేనపుడు కాకుండేందుకు మార్గం ఏదో ఆమెకు తెలిసి .
అవసరం,అందువల్ల కడుపుతో ఉన్నప్పుడు జాగ్రత్తలు అవసరం ణూLL .
అవసరం,లేనివాళ్లకు మరిన్ని జాగ్రత్తలు అవసరం ణూLL .
అవసరం,గర్భంతో ఉన్నప్పుడు ఆమెకు ఇద్దరి ఆహారం అవసరం ణూLL .
